Asteraceae,66897-002,elit sodales scelerisque mauris sit,3.44,5020045221784173660
Papaveraceae,68084-303,a nibh in quis justo maecenas rhoncus aliquam,20.5,490511669399121653
Araceae,10544-159,erat tortor sollicitudin mi sit amet lobortis sapien,2.0,3560327361974671
Fabaceae,55154-6637,mauris morbi non lectus aliquam sit,10.46,3529399260819547
Chenopodiaceae,42291-230,mattis nibh ligula nec sem duis aliquam convallis nunc proin,11.37,3532773121307659
Urticaceae,55910-017,donec pharetra magna vestibulum aliquet ultrices erat tortor,25.48,4405265578040448
Cyperaceae,36800-441,dui luctus rutrum nulla tellus in sagittis dui vel,24.25,3554440121385803
Scrophulariaceae,0172-4960,justo sollicitudin ut suscipit a feugiat et eros vestibulum,24.51,5610226091023582
Cupressaceae,55312-029,elementum eu interdum eu tincidunt in leo maecenas,22.73,3563655813773201
Apocynaceae,21695-415,ipsum ac tellus semper interdum,9.92,6304452499810201
Splachnaceae,66336-214,ultrices aliquet maecenas leo odio,18.67,5435397134506561
Rubiaceae,60505-0769,in magna bibendum imperdiet nullam orci pede,26.67,201883653748455
Nyctaginaceae,60760-986,nulla sed vel enim sit amet nunc viverra dapibus nulla,15.24,3554628865141792
Bryaceae,16571-500,erat tortor sollicitudin mi sit amet lobortis sapien,15.95,3570039441285253
Polypodiaceae,68828-183,mauris lacinia sapien quis libero nullam sit,3.18,56108778027406200
Viscaceae,25543-200,eget tempus vel pede morbi porttitor lorem,13.62,4844987579539800
Liliaceae,63629-1597,pede ullamcorper augue a suscipit nulla elit ac,10.19,5108755235931150
Convolvulaceae,76140-106,morbi quis tortor id nulla ultrices aliquet maecenas,25.22,5335422856283842
Pertusariaceae,68084-364,phasellus id sapien in sapien iaculis congue,19.46,3556850280450776
Aceraceae,68428-139,justo maecenas rhoncus aliquam lacus morbi,28.91,372301325920470
Poaceae,63629-4305,pulvinar nulla pede ullamcorper augue a suscipit,20.89,3567878654229127
Myrtaceae,24385-143,ac consequat metus sapien ut nunc vestibulum ante ipsum primis,27.19,5602219126053387195
Caprifoliaceae,63517-112,congue etiam justo etiam pretium iaculis justo in hac habitasse,13.99,3584217162481863
Asteraceae,49999-139,in leo maecenas pulvinar lobortis est phasellus sit amet erat,6.34,3533815216518028
Rhamnaceae,0924-0166,felis donec semper sapien a libero nam,18.43,345265127267873
Grossulariaceae,41163-531,risus auctor sed tristique in,4.51,3548798713208348
Lemnaceae,48951-1062,pede justo lacinia eget tincidunt eget tempus vel pede morbi,5.33,36255991959543
Teloschistaceae,23155-055,aenean auctor gravida sem praesent id massa id,16.09,6771336571211824854
Liliaceae,21695-628,sit amet consectetuer adipiscing elit proin risus,4.14,3538650471625746
Equisetaceae,68180-611,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,23.18,3573314692658756
Myrtaceae,63704-010,odio cras mi pede malesuada in imperdiet et commodo vulputate,3.86,3556097042452175
Arecaceae,37012-123,nisi vulputate nonummy maecenas tincidunt lacus at velit,7.67,4175009136927052
Parmeliaceae,24724-028,erat id mauris vulputate elementum nullam varius nulla,2.32,67069726159204913
