Legg Mason Global Infrastructure ETF,3556119330586603,Eric Edgley
Haemonetics Corporation,30154640617519,Berty Jackling
Flaherty & Crumrine Preferred Securities Income Fund Inc,3561588822335310,Amalle Paunton
Orthofix International N.V.,201654289548142,Berti Warsap
Targa Resources Partners LP,630404372267749942,Gustie Gravener
"Endocyte, Inc.",5235474839252924,Perri Gilchrest
MSA Safety Incorporporated,201438669562273,Eziechiele Delgua
Apollo Senior Floating Rate Fund Inc.,6767153370617939491,Andie Haitlie
ClearBridge Dividend Strategy ESG ETF,3551596513902100,Edgard Verrillo
"Everbridge, Inc.",4405146612625834,Maridel Phair
PowerShares DWA Developed Markets Momentum Portfolio,3569644477962080,Aurelia Goodley
"Rennova Health, Inc.",633401005572789834,Rosalinde Thynne
"Gartner, Inc.",3587606485318587,Ardith Wieprecht
First Trust NASDAQ Technology Dividend Index Fund,3554156446143939,Gleda Mityushin
Stamps.com Inc.,5228379027898595,Rodolphe Skerritt
"Blackrock Debt Strategies Fund, Inc.",3550265320921544,Karoly Goodered
National Storage Affiliates Trust,5893801416013886,Dorita Gillet
ITT Inc.,3578524564716996,Brittni Limbourne
Regional Management Corp.,3532205042849394,Berkley Reye
"Stock Yards Bancorp, Inc.",4852728042615,Tiena Makin
"PrivateBancorp, Inc.",3567454360377228,Carlyn Sebrook
"US Ecology, Inc.",3572219302888159,Timofei Scotchmoor
Nuveen Texas Quality Municipal Income Fund,201976104427677,Ian McRuvie
Annaly Capital Management Inc,4405526435703,Nikolai Goshawk
Eagle Point Credit Company Inc.,3529205364870452,Aliza Conniam
Concho Resources Inc.,6389967602624270,Cyrillus Brosch
"Hostess Brands, Inc.",6384505967279598,Cicely Kulis
Materialise NV,633419962765709948,Ara Harland
"TCG BDC, Inc.",3541170494535736,Erda Sealy
The AES Corporation,3546903576155683,Sibley Eland
"American Capital Senior Floating, Ltd.",377265764898643,Feliza Matcham
"Atlas Financial Holdings, Inc.",50205242737020079,Erinn Manklow
"AutoZone, Inc.",5602214949321440,Kristoffer Jewsbury
Martin Midstream Partners L.P.,5108750336933270,Lou Raisher
"aTyr Pharma, Inc.",5402100171655435,Carleton Gowen
Accenture plc,6373130811597443,Rich De L'Isle
"TIER REIT, Inc.",633313820945716091,Maureen Stearn
"Manning & Napier, Inc.",3559896696035542,Delcina Peasee
Allegheny Technologies Incorporated,5020522596114132573,Ezekiel Stanluck
Apollo Senior Floating Rate Fund Inc.,5602245797121730,Ky Boorn
Horizon Technology Finance Corporation,3561978283306431,Phylys Downage
"New York Mortgage Trust, Inc.",5010129913158527,Tildy Fishe
"Boston Private Financial Holdings, Inc.",5010122088724215,Mariam Yellowlees
YY Inc.,6759619088547222532,Fowler Fooks
Athene Holding Ltd.,3529791691174148,Natale Drieu
"Laureate Education, Inc.",5602241151685568,Charmain Rushmer
"Simpson Manufacturing Company, Inc.",67098112080139624,Sharla Filan
Sherwin-Williams Company (The),6706823787527737,Rollie Ramsted
"Rocky Mountain Chocolate Factory, Inc.",6382368303111427,Steward Murdie
Xactly Corporation,201622940409053,Randee Venn
"Patrick Industries, Inc.",6371088793841563,Nanni Burtonwood
PowerShares DWA NASDAQ Momentum Portfolio,3575748381924946,Leonie Laste
Chicago Bridge & Iron Company N.V.,3536600189504446,Gallard Rustman
VALE S.A.,3572307143857895,Roobbie Meuse
"Jamba, Inc.",5137085912557770,Emiline Bagworth
"Twenty-First Century Fox, Inc.",3567353589789553,Hasheem Dobby
Ultralife Corporation,633383039235992990,Derril Trickett
Nielsen N.V.,5100137577908039,Gael Ebenezer
3D Systems Corporation,5451191631532330,Marisa Godwyn
National Energy Services Reunited Corp.,4913211789943215,Abram Bocking
"CAI International, Inc.",6334030071637608,Irvin Bolstridge
"Banc of California, Inc.",5020685446954471447,Hadria Fowgies
KKR Income Opportunities Fund,3575460407745251,Grover Buckell
"Asia Pacific Fund, Inc. (The)",4936823506681911,Yul Dumingos
CSI Compressco LP,6767996300911809521,Winslow Naldrett
"Synopsys, Inc.",4041373133867,Kimmy Brombell
Auris Medical Holding AG,337941734540353,Sally Courtin
"Organovo Holdings, Inc.",3564677127916168,Tammie Hannay
GasLog Partners LP,3586990939004782,Consuelo Romei
Gramercy Property Trust Inc.,3534449081872796,Skipton Grinyov
"WCF Bancorp, Inc.",3534897597491479,Laughton Decent
"Ormat Technologies, Inc.",6304274019039602,Eleni Castanie
"P & F Industries, Inc.",201479366057662,Wynnie Argo
"Walgreens Boots Alliance, Inc.",3539122842064178,Jeannette Sawood
"Pluristem Therapeutics, Inc.",4903847871580928,Tanny Moorton
"Methode Electronics, Inc.",5007663442958945,Marta Wasiel
"Oncobiologics, Inc.",30234499914678,Rudiger Nock
"Rave Restaurant Group, Inc.",3553793872746248,Brigitta Crosier
CABCO Series 2004-101 Trust,4175005258453463,Sara Crawforth
"Remark Holdings, Inc.",5464752181395173,Mariya Marshal
"Kindred Healthcare, Inc.",3581008114422441,Xever Andrzejak
VEREIT Inc.,374283952792604,Mead Springle
"Ares Dynamic Credit Allocation Fund, Inc.",3536372725680763,Drud Jozefowicz
"Akoustis Technologies, Inc.",5893205004483834,Feodor Caban
General Dynamics Corporation,3548352171019225,Delila Kynson
"Grupo Aeroportuario del Sureste, S.A. de C.V.",5007664902388367,Yank Ummfrey
"Del Frisco's Restaurant Group, Inc.",670935463689165033,Tris Amy
Genpact Limited,675944197427926177,Claribel Grishkov
"China Natural Resources, Inc.",3565118217990051,Drake Battersby
"Aimmune Therapeutics, Inc.",3588580405289823,Querida Hedney
Emclaire Financial Corp,5002354502130832,Currey Deverell
Sempra Energy,5516378724816091,Barnaby Kenford
PCSB Financial Corporation,5007665162629416,Florry Tessier
K12 Inc,3578658671342971,Bathsheba Jackalin
"Wayside Technology Group, Inc.",3545122266769619,Katharyn Stoffersen
iShares MSCI China ETF,3529820982587104,Dugald Boulton
Neogen Corporation,5010125620983694,Brenden Seargeant
"Jounce Therapeutics, Inc.",5472258820205070,Regen Clemow
"Truett-Hurst, Inc.",5641820179062893,Danell Quakley
"Manning & Napier, Inc.",4936924568287631857,Winn Mayoh
"Colony NorthStar, Inc.",3546493045175413,Wyatt Goldsworthy
Vornado Realty Trust,3570929678159066,Laraine Firmager
Syneron Medical Ltd.,6767787601322602279,Portia Rossiter
JM Global Holding Company,3558508187865425,Teresita Braunter
Bank of Commerce Holdings (CA),5100132313890120,Emmalee Gruczka
Turquoise Hill Resources Ltd.,3564136545252094,Kyle Whatman
JetPay Corporation,5602248372931101,Des Addie
Foamix Pharmaceuticals Ltd.,3571942965091008,Collen Smallthwaite
Patriot National Bancorp Inc.,564182799486090857,Yance Walls
Centrais Electricas Brasileiras S.A.- Eletrobras,5267586156727146,Caterina Styant
Kitov Pharmaceuticals Holdings Ltd.,3563672884672659,Gaultiero Nancekivell
"Dollar Tree, Inc.",3573468507498327,Pavlov Laverock
John Bean Technologies Corporation,337941910253045,Bobbie Morritt
Nuveen Floating Rate Income Opportuntiy Fund,3551959290549322,Vinny Dorricott
STRATS Trust,3557021770732292,Cozmo Kleinplatz
PowerShares DWA Momentum & Low Volatility Rotation Portfolio,5306483639899572,Artemas Aslett
Atossa Genetics Inc.,3542357426146349,Griz Vigrass
Gladstone Investment Corporation,3570536524916589,Sibel Guyton
"Floor & Decor Holdings, Inc.",3543270641353922,Cherye Semmence
AGCO Corporation,201939921782203,Marilee Wills
"Red Robin Gourmet Burgers, Inc.",201635039196779,Ernest Kinchlea
"Express, Inc.",3557758439248802,Cindee Alwin
"John B. Sanfilippo & Son, Inc.",3577534425486920,Vincents Heathcote
Zosano Pharma Corporation,3582079371007109,Allison Ritchie
J P Morgan Chase & Co,3552874210688689,Elle Robinet
Macro Bank Inc.,30389539701566,Dal Boxen
China Distance Education Holdings Limited,3568108103527452,Kasper Durward
Fomento Economico Mexicano S.A.B. de C.V.,3562790881001234,Norby Cossentine
"Hallmark Financial Services, Inc.",3557073311340804,Witty Purle
"Comfort Systems USA, Inc.",3534600678846334,Sue Cockshoot
"Endologix, Inc.",3588928588676268,Seamus Schule
"Clearfield, Inc.",6706534305043905,Nanni Reveley
Vodafone Group Plc,5519260546393839,Celinda Le Blond
"VeriSign, Inc.",30241692775830,Alexis Cargo
DISH Network Corporation,3582452338207064,Emmalee Postles
"Shiloh Industries, Inc.",5100144531085086,Anya Fourcade
Albemarle Corporation,5100148674381103,Steve Okenfold
"Alexandria Real Estate Equities, Inc.",4917787014654871,Rufus Roskell
"Goldman Sachs Group, Inc. (The)",5602245792699762733,Spencer Gillimgham
Ovid Therapeutics Inc.,3554029447236178,Alanah D'Cruze
Gabelli Multi-Media Trust Inc. (The),5002357589406983,Jillian Grundey
"Maximus, Inc.",30589837432729,Tedman Spinney
First Trust Japan AlphaDEX Fund,3533850829705522,Veronique Gallop
National Commerce Corporation,3573026213739952,Danica Ranner
"Alliance One International, Inc.",3564838428730795,Emmet Philippon
Enel Americas S.A.,5602224256535003,Janet Daines
"Veracyte, Inc.",3588567726032404,Erick Sehorsch
Amedisys Inc,4936172827071030620,Etty Oliphand
New Mountain Finance Corporation,6391799095603339,Nadia Flaxon
Numerex Corp.,6331104832757503580,Tomasine Dickman
"CoStar Group, Inc.",3567326154238743,Lynnet Mattia
"Xenith Bankshares, Inc.",5570350097285371,Ingunna Itzkov
Ares Capital Corporation,3574021473801435,Myriam Widdowson
Innocoll Holdings,5602222659186739,Woodie Lines
"Chunghwa Telecom Co., Ltd.",3566705095416644,Jesselyn Paley
Invesco Municipal Income Opportunities Trust,201807026863147,Gamaliel Espinos
Investors Real Estate Trust,5602248750612059,Doretta Munkley
"Tivity Health, Inc.",337941940986200,Rusty Shrawley
"Ringcentral, Inc.",3543114111684616,Naomi Rodders
Main Street Capital Corporation,343313339652763,Cully Emms
"Rand Logistics, Inc.",56108656830496974,Lorenza Foulsham
"Cleveland BioLabs, Inc.",3563577596422972,Gaspar Shiell
"TrovaGene, Inc.",3547111329452295,Yank Barthrop
"Crown Crafts, Inc.",633436592576285942,Hastie Palphreyman
Capital One Financial Corporation,201834965036659,Raina Catonne
LKQ Corporation,3536910017927820,Golda Roubeix
VCA Inc. ,374622902853372,Auguste Wigan
"MyoKardia, Inc.",337941636234212,Camilla Alliband
MSA Safety Incorporporated,4405359759020459,Rochella Upham
Mosaic Company (The),6709508504045827,Gerard Bugg
"Diplomat Pharmacy, Inc.",4903728110312986,Arie Gander
"Cyclacel Pharmaceuticals, Inc.",3584882296052607,Wash Bauser
New Home Company Inc. (The),5443684972536119,Foster Widdicombe
Intrexon Corporation,502010913891417179,Antonia Collibear
VEREIT Inc.,3533496061666061,Tuesday Bewlie
"Codexis, Inc.",3585588769408783,Maggee Foucar
NXT-ID Inc.,3573512852581250,Sancho Jindracek
Campbell Soup Company,337941277275029,Leland MacDonough
PowerShares DWA Momentum Portfolio,30103882391317,Augy Heiner
Consolidated Edison Inc,4041374038115,Joeann Esseby
Mid Penn Bancorp,3569816523124788,Graeme Morteo
Highland/iBoxx Senior Loan ETF,201424139297468,Scott Carillo
"Cogint, Inc.",633303763649574998,Glenna Evason
SteadyMed Ltd.,3534269059998633,Norina McKaile
Oasmia Pharmaceutical AB,30345760361587,Sascha Kidds
"Healthcare Services Group, Inc.",3579927540789335,Forster Swynfen
Yintech Investment Holdings Limited,4913842427283828,Saul Glozman
First Trust RiverFront Dynamic Developed International ETF,56104142855685191,Berget Ferruzzi
Cemtrex Inc.,3540728092362323,Bev Stockoe
First Trust Low Beta Income ETF,4026518682606218,Waly Lauridsen
Consolidated Water Co. Ltd.,4026662593335549,Freeland Seres
"AmTrust Financial Services, Inc.",3552392252127045,Lesley Arsnell
Navient Corporation,30291343580444,Chance Gagin
Woori Bank,6389571209310414,Randolf Orviss
"Verastem, Inc.",3570314932147142,Thorn Howel
Brandywine Realty Trust,30001461681670,Rennie Cristea
Western Asset Investment Grade Defined Opportunity Trust Inc.,3576030852254189,Kimberley Mankor
Formula Systems (1985) Ltd.,3536410729903664,Glynda Shevels
Lincoln National Corporation,3539223525716173,Manda Farnall
Alpha and Omega Semiconductor Limited,3586292825243040,Levey Beeston
"Tandy Leather Factory, Inc.",3563100978958537,Durward Riggey
"AnaptysBio, Inc.",3564171568580212,Chanda Ponceford
Proshares UltraPro Nasdaq Biotechnology,3572889255540633,Lory Charker
Modine Manufacturing Company,3569741616401432,Sioux Blaschek
"Spectra Energy Partners, LP",4936590715486184708,Leonore Bellany
"ClubCorp Holdings, Inc.",5100173086618140,Kelcey Broxup
Central Garden & Pet Company,3576151709431091,Marlo McChesney
"New York Community Bancorp, Inc.",3589715691306704,Trevar Flecknoe
"Mitcham Industries, Inc.",6390023244360993,Valentin Stollmeyer
Bank of America Corporation,3535948115713511,Claiborn Stoeck
Voya Emerging Markets High Income Dividend Equity Fund,5602229647948204434,Lothaire Rochford
iPath US Treasury 2-year Bear ETN,3548457881751437,Tomlin Scurry
"Synthetic Fixed-Income Securities, Inc.",3585419530574325,Renell Dunkerley
BlackRock 2022 Global Income Opportunity Trust,3565221202997105,Emmanuel Brouncker
BP Prudhoe Bay Royalty Trust,5108753261656676,Thalia Fawdrey
Marcus Corporation (The),3550498783335023,Carole Sawkins
"Communications Systems, Inc.",5048375816378979,Paco Balffye
"Herman Miller, Inc.",677144170466197442,Marybelle O'Spellissey
Vanguard Short-Term Corporate Bond ETF,3548842785178615,Caresse Doughtery
Primo Water Corporation,3558162827680818,Gaston Servante
Nuveen Short Duration Credit Opportunities Fund,3581781596847612,Timmy Genge
GasLog LP.,5020895673412520467,Brnaby Tompkiss
"Heartland Financial USA, Inc.",201683816500508,Ivonne Collip
Public Service Enterprise Group Incorporated,3537495797650023,Juditha Palister
Vical Incorporated,5470286721191109,Fern Dobrovolny
"Urban One, Inc. ",3560394574250935,Wyndham Speakman
WisdomTree Negative Duration High Yield Bond Fund,4017959295786388,Dimitry Gimenez
Cincinnati Bell Inc,4175006685105031,Anthiathia Yancey
Wintrust Financial Corporation,5439379119179214,Tibold Trevenu
"Washington Federal, Inc.",6386550919788542,Jerrilee Teodori
Solar Senior Capital Ltd.,3529151193228274,Kayne Stanex
FinTech Acquisition Corp. II,3558210754464480,Carline Drohun
Bank of America Corporation,3545294611087664,Salmon Sewter
Webster Financial Corporation,6333737090166513374,Moises Nation
Government Properties Income Trust,50184602682541715,Cristabel Seegar
"Axsome Therapeutics, Inc.",36228833361327,Gregoire Gronou
Welltower Inc.,3540620433930282,Walsh Ferries
Enel Chile S.A.,6709350461634982,Rafaellle Thornley
Boulevard Acquisition Corp. II,4508023284754588,Stephanus Sanford
Playa Hotels & Resorts N.V.,5893539141188307644,Sheilah Glasson
Nuveen Quality Municipal Income Fund,6331106410357422,Ingram Clausner
Wendy's Company (The),3535501409914715,Ninnetta Andriessen
"Juno Therapeutics, Inc.",3560128023254977,Zebulon Krauze
Advance Auto Parts Inc,3563405804056186,Keith Shimoni
"Second Sight Medical Products, Inc.",36905114797499,Rem Sandhill
ClearBridge American Energy MLP Fund Inc.,3572336284942265,Evie Burtwell
"The Herzfeld Caribbean Basin Fund, Inc.",3548841758659635,Ferris Meeny
First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ,3562942326303606,Maggee Van der Hoeven
"AmeriGas Partners, L.P.",3535152990866540,Kiley Snoad
M&T Bank Corporation,5374445310712462,Ferdinand Ambrose
"Helmerich & Payne, Inc.",630449023932652030,Allys Edeler
"China Automotive Systems, Inc.",4936191442808430,Norry Gonthard
"Wal-Mart Stores, Inc.",5602242600250483,Daphna Gresswell
MTS Systems Corporation,5002351117611321,Ursola Brick
"Carriage Services, Inc.",30408574334040,Shirleen Axcel
HSBC Holdings plc,490377143636708865,Lenard Baudino
"Ignyta, Inc.",3554143551536891,Krystalle Philipet
Dynatronics Corporation,56022286967420226,Tilda Peyntue
AlphaMark Actively Managed Small Cap ETF,3578717562736434,Lavinie Wince
Entertainment Gaming Asia Incorporated,560222226027685730,Korney Dadswell
"CBL & Associates Properties, Inc.",3551402691032721,Sylvia Reeme
Atlantica Yield plc,3535060541703106,Hartley Plummer
Easterly Acquisition Corp.,5602223054667539,Haleigh Tuft
Capitol Acquisition Corp. III,3556324194920639,Vincenz Ebbers
SL Green Realty Corporation,3538687847742243,Nappie Life
Anworth Mortgage Asset  Corporation,6385838167222756,Shaw Fenton
"AmeriGas Partners, L.P.",5100133751914661,Maggie Backman
Aircastle Limited,3589575746273873,Katherine Villa
Anixter International Inc.,3543058673710352,Chloette Gladebeck
"Customers Bancorp, Inc",4026480259444475,Darline Minchi
Double Eagle Acquisition Corp.,630409221802689094,Rodge Tschierse
Teekay LNG Partners L.P.,3586740085228655,Serena Odd
BlackRock New York Investment Quality Municipal Trust Inc. (Th,633110581644655742,Drucie Renyard
"TripAdvisor, Inc.",5406124994041025,Becca Saunper
"Applied Industrial Technologies, Inc.",5048378344833028,Nissa Christley
Gladstone Commercial Corporation,30551956082685,Bee Hemstead
Helios and Matheson Analytics Inc,5100139121741205,Izzy Bus
Invesco Mortgage Capital Inc.,3537222356848925,Laurens Dyshart
"Richmont Mines, Inc.",3584124060235559,Aurea Kalf
RMG Networks Holding Corporation,3572487677799042,Jonathon Fivey
"Advanced Semiconductor Engineering, Inc.",3566353556685108,Margy Lebreton
Zions Bancorporation,3530492229610060,Dag Dismore
Nuveen Credit Strategies Income Fund,3547699055665478,Raychel Sizzey
"Beneficial Bancorp, Inc.",3541970860269749,Toinette Lorroway
"The Andersons, Inc.",3576401014486359,Sonnie Tibb
"Net Element, Inc.",5602211578973434,Nicholas Zorzini
Core Laboratories N.V.,3581610629997385,Quinn Feasey
"GTY Technology Holdings, Inc.",3528041852045633,Ferdinanda Leatham
"C.R. Bard, Inc.",4026085568206356,Giraldo Kubicki
iPath US Treasury Long Bond Bull ETN,5602253628771778032,Annnora Ferencowicz
La Jolla Pharmaceutical Company,3544216590455308,Garv Reicharz
"Office Depot, Inc.",3574342936096441,Aurel Campes
"Synergy Pharmaceuticals, Inc.",3587963557640087,Jared Fairfull
UNITIL Corporation,201418013645974,Tomasina Edwins
"Northwest Bancshares, Inc.",3551707104882094,Diane Ruddell
Primo Water Corporation,3537379414099907,Jenelle Soule
"Foundation Medicine, Inc.",201428842523482,Margi Mc Ilwrick
American Woodmark Corporation,3572573525976021,Delila Ireland
Repros Therapeutics Inc.,4844071814370550,Lawton Debell
Bank of America Corporation,3565690045174512,Mariya Daniau
"Republic Bancorp, Inc.",5018207297949216,Marina Gibbs
NetSol Technologies Inc.,4456903919660,Kaitlin Dugan
"Westell Technologies, Inc.",491131452493460766,Reiko Burchard
"Ecology and Environment, Inc.",3581416718838880,Odilia Leel
eGain Corporation,5602216292345314,Kelwin Cathie
"EZCORP, Inc.",5602251725580823,Max Tinn
M&T Bank Corporation,3582706213680954,Borden Ludwig
"CACI International, Inc.",4903533295938563353,Adiana Anglim
Abeona Therapeutics Inc.,5048373571073760,Olga Gledstane
International Speedway Corporation,3545849719167849,Hugh Dunbabin
Petroleo Brasileiro S.A.- Petrobras,5893735396827226546,Huntlee Shankster
"Malvern Bancorp, Inc.",4026356932979964,Carry Shattock
Tesco Corporation,30091746359630,Quinn Burdass
The Spectranetics Corporation,3540007304218098,Kristofer Jarred
Allegheny Technologies Incorporated,560225731435249489,Sean Allott
"Pernix Therapeutics Holdings, Inc.",4911800023301404,Jermaine Kirwin
HomeTown Bankshares Corporation,3580241733340113,Denver Girardini
"Aaron's,  Inc.",3559091147299224,Tudor Cantwell
Entravision Communications Corporation,6331101778049894829,Raynor Kisar
Vertex Pharmaceuticals Incorporated,30541878507133,Maegan Marking
Kitov Pharmaceuticals Holdings Ltd.,3550909700890056,Bronson Gillie
"KVH Industries, Inc.",3568694604307288,Sallyanne Atheis
"Veritone, Inc.",3556456036727168,Ben Floch
"ShotSpotter, Inc.",6379353450252302,Erin Gorry
Westport Fuel Systems Inc,3563714283338076,Emlynn Tolerton
Cinemark Holdings Inc,3562934889294595,Ashley Ben
Macquarie Global Infrastructure Total Return Fund Inc.,4405952995571499,Hamnet Fife
